"Name","Team","Level","Age","PA","BB.","K.","BB.K","AVG","OBP","SLG","OPS","ISO","Spd","BABIP","wSB","wRC","wRAA","wOBA","wRC.","mYear","playerid","zAge"
"Zach Sorensen","MIL","AAA",29,245,0.10612245,0.17959184,0.59090909,0.26237624,0.34482759,0.33663366,0.68146125,0.07425742,3.831792712,0.32075472,-0.738911037,26.34630315,-4.573972304,0.31674438,85.20720712,2006,1728,0.652813749289469
"Matt Kata","CIN","AAA",28,366,0.04918033,0.13114754,0.375,0.26283988,0.31767956,0.42900302,0.74668258,0.16616314,5.034939312,0.28158845,-0.913598349,43.72403116,2.890155373,0.333376314,107.0778375,2006,1741,0.343515025315137
"Bo Hart","STL","AAA",29,291,0.07560137,0.16494845,0.45833333,0.21455939,0.2862069,0.31034483,0.59655173,0.09578544,5.396454738,0.25,0.383423272,21.00358054,-15.72213438,0.274079677,57.19039257,2006,1743,0.652813749289469
"Carlos Rivera","COL","AAA",28,451,0.03991131,0.11308204,0.35294118,0.32541568,0.35777778,0.45368171,0.81145949,0.12826603,3.090884922,0.34972678,-0.235064105,64.77244032,7.853892454,0.360063386,113.7984765,2006,1749,0.343515025315137
"David Matranga","SDP","AAA",29,339,0.06489676,0.2359882,0.275,0.21854305,0.29341317,0.36423841,0.65765158,0.14569536,3.81051844,0.26066351,0.387626667,31.53951458,-11.24405022,0.299338088,73.71876263,2006,1752,0.652813749289469
"Eric Bruntlett","HOU","AAA",28,93,0.1827957,0.13978495,1.30769231,0.21917808,0.38043478,0.32876712,0.7092019,0.10958904,5.684494187,0.25423729,-0.271366151,11.86951678,0.132432628,0.340866676,101.1283265,2006,1753,0.343515025315137
"Stephen Smitherman","SDP","AA",27,331,0.09969789,0.29305136,0.34020619,0.2369338,0.32326284,0.49825784,0.82152068,0.26132404,0.889808393,0.27840909,-0.005063442,47.19212288,12.1078274,0.36846812,134.5106756,2006,1758,1.1990581138076
"Cody Ross","CIN","AAA",25,64,0.203125,0.1875,1.08333333,0.34,0.484375,0.54,1.024375,0.2,2.21738794,0.4,-0.832891878,13.95221262,6.811862755,0.460774625,195.3995656,2006,1760,-0.584381146607858
"Curtis Pride","LAA","AAA",37,331,0.16314199,0.2265861,0.72,0.31135531,0.42424242,0.46520147,0.88944389,0.15384616,4.985827837,0.40104167,1.593926245,58.55364593,16.77972277,0.400016099,140.1679361,2006,1762,3.12720354108412
"Luis Terrero","BAL","AAA",26,329,0.04863222,0.18541033,0.26229508,0.31788079,0.36697248,0.55960265,0.92657513,0.24172186,6.325922166,0.3539823,-0.076291492,58.60931237,21.90345135,0.409241247,159.6728989,2006,1765,-0.275082422633527
"Laynce Nix","TEX","AAA",25,387,0.05684755,0.24547804,0.23157895,0.29661017,0.34715026,0.50564972,0.85279998,0.20903955,4.749360546,0.35918367,0.394504949,59.42894972,10.58753503,0.371769414,121.6773717,2006,1766,-0.584381146607858
"Alex Prieto","KCR","AAA",30,247,0.08906883,0.17408907,0.51162791,0.22624434,0.29387755,0.30316742,0.59704497,0.07692308,2.54217113,0.26553672,-0.459520223,18.38127135,-12.79141451,0.276985914,58.96595317,2006,1778,0.9621124732638
"Todd Linden","SFG","AAA",26,221,0.13122172,0.19909502,0.65909091,0.27807487,0.38461538,0.44919786,0.83381324,0.17112299,6.805305946,0.3381295,1.024838257,34.42801735,6.53666684,0.374665595,123.436179,2006,1803,-0.275082422633527
